title;price;condition;location;link
Odyssey Thermalright thermal pad 85x45x1.0mm 12.8W/mK (термопрокладка) 100% original;9,000֏;Новое;Шенгавит;https://www.list.am/ru/item/21565225?ld_src=2
GTX 960 2 гигабайта DDR5 128-бит;18,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/24058998?ld_src=2
Gtx 1660ti 6gb 192 bit ddr6;45,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23878371?ld_src=2
GTX 1080 8gb HDMI 4k [7680x4320];60,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/24071135?ld_src=2
GTX 1060 6GB 192bit DDR5;35,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23876756?ld_src=2
EVGA Nvidia GeForce GTX 1060 1 cooler 192 bit 6Gb;45,000֏;Использованное;Кентрон;https://www.list.am/ru/item/21375117?ld_src=2
RTX3070 վիդեոքարտ Palit GameRock;165,000֏;Использованное;Ачапняк;https://www.list.am/ru/item/23238289?ld_src=2
Videocard видеокарта վիդեո քարտ Core GeForce GT620/2Gb DDR3 /VGA/DVI/HDMI + անվճար առաքում և տեղադրում;14,000֏;Использованное;Эребуни;https://www.list.am/ru/item/15190398?ld_src=2
Palit RTX 3050 StormX 8GB;65,000֏;Использованное;Эчмиадзин;https://www.list.am/ru/item/20456416?ld_src=2
Msi rtx 3060 ti gaming z trio;115,000֏;Новое;Кентрон;https://www.list.am/ru/item/24239274?ld_src=2
XPC thermal pad 0.5mm 100x100x0.5mm 20W/mk (термопрокладка);12,000֏;Новое;Шенгавит;https://www.list.am/ru/item/21565162?ld_src=2
Видеокарта Palit GeForce GT 730 2GB DDR3 128bit (NEAT7300HD41-1085F);10,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23928907?ld_src=2
GTX 760 GDDR5 2GB 256bit;16,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/22458141?ld_src=2
Gigabyte GeForce GTX980 4GB GDDR5 PCiE 1216MHz HDMI VGA DVI Video Graphics Card տեսաքարտ видеокарта Վիդեո քարդ;150,000֏;Новое;Арабкир;https://www.list.am/ru/item/21703708?ld_src=2
Zotac GeForce GT 520 1GB GDDR3 64bit DVI VGA HDMI Video Graphics Card տեսաքարտ видеокарта Վիդեո քարդ;11,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21701926?ld_src=2
Arktek GeForce GT620 2GB GDDR3 64bit DVI VGA HDMI Video Graphics Card տեսաքարտ видеокарта Վիդեո քարդ;24,000֏;Новое;Арабкир;https://www.list.am/ru/item/21704966?ld_src=2
GeForce GT520 1GB DDR3 64bit DVI VGA HDMI Video Graphics Card տեսաքարտ видеокарта Վիդեո քարդ;9,000֏;Использованное;Арабкир;https://www.list.am/ru/item/21701698?ld_src=2
GeForce RTX 5090 GameRock Palit;2,000,000֏;Использованное;Арабкир;https://www.list.am/ru/item/24144979?ld_src=2
Nvidia CMP 30hx 6 GB аналогом GTX 1660 super pcie x16;30,000֏;Использованное;Аван;https://www.list.am/ru/item/23239441?ld_src=2
Монитор 19 дюйма + առաքում;8,000֏;Использованное;Арабкир;https://www.list.am/ru/item/19105369?ld_src=2
Nvidea geforce 9800 gtx +;20,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23996382?ld_src=2
Geforce rtx 3060ti AORUS;120,000֏;Использованное;Кентрон;https://www.list.am/ru/item/21966212?ld_src=2
MSI Radeon rx 470 gaming x 4g (256bit) хороший состояние;27,000֏;Использованное;Ванадзор;https://www.list.am/ru/item/22853274?ld_src=2
GPU Վիդեոքարտ ASUS GeForce GTX 1650 Տեսաքարտ / Видеокарта / Videocard / Video Card;50,000֏;Использованное;Кентрон;https://www.list.am/ru/item/23764526?ld_src=2
